concept_id,domain,canonical_label,aliases,jmdict_seq,japanese,kana,romaji,english,zh_hans,part_of_speech,concept_priority,candidate_priority,source_notes
cup,kitchen,cup,"cup,drinking cup,glass,tumbler",1050390,コップ,コップ,koppu,cup,杯子,noun,95,95,jmdict
chair,furniture,chair,"chair,seat,dining chair",1157070,椅子,いす,isu,chair,椅子,noun,94,94,jmdict
mug_cup,kitchen,mug,"mug,cup,coffee cup",2057330,マグカップ,マグカップ,magukappu,mug,马克杯,noun,94,94,jmdict
mobile_phone,electronics,mobile phone,"mobile phone,cell phone,phone,smartphone",1250690,携帯電話,けいたいでんわ,keitaidenwa,mobile phone,手机,noun,93,93,jmdict
cat,animals,cat,"cat,house cat",1467640,猫,ねこ,neko,cat,猫,noun,92,92,jmdict
dog,animals,dog,"dog,pet dog",1258330,犬,いぬ,inu,dog,狗,noun,92,92,jmdict
book,home,book,"book,books",1522150,本,ほん,hon,book,书,noun,91,91,jmdict
bottle,kitchen,bottle,"bottle,water bottle,jar",1491120,瓶,びん,bin,bottle,瓶子,noun,91,91,jmdict
laptop,electronics,laptop,"laptop,laptop computer,notebook computer",2257490,ノートパソコン,ノートパソコン,notopasokon,laptop,笔记本电脑,noun,90,90,jmdict
aircraft,vehicles,aircraft,aircraft,1281320,航空機,こうくうき,koukuuki,aircraft,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
alarm_clock,home,alarm clock,"alarm clock,clock",1535340,目覚まし,めざまし,mezamashi,alarm clock,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
ambulance,vehicles,ambulance,ambulance,1229100,救急車,きゅうきゅうしゃ,kyuukyuusha,ambulance,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
ant,animals,ant,ant,1225940,蟻,あり,ari,ant,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
apple,food,apple,apple,1555480,林檎,りんご,ringo,apple,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
balloon,objects,balloon,balloon,1499940,風船,ふうせん,fuusen,balloon,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
bathtub,objects,bathtub,bathtub,1547480,浴槽,よくそう,yokusou,bathtub,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
bear,animals,bear,bear,1246850,熊,くま,kuma,bear,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
bee,animals,bee,bee,1517840,蜂,はち,hachi,bee,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
bicycle,vehicles,bicycle,bicycle,1318290,自転車,じてんしゃ,jitensha,bicycle,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
binoculars,objects,binoculars,"binocular,binoculars",1398710,双眼鏡,そうがんきょう,sougankyou,binoculars,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
bird,animals,bird,bird,1430250,鳥,とり,tori,bird,,noun,89,89,auto_openimages_jmdict_exact_gloss_zh_pending
